Date,Open,High,Low,Close,Adj Close,Volume
2021-03-25,29.950001,33.099998,29.570000,32.529999,32.529999,25407900
2021-03-26,31.580000,33.049999,31.080000,32.139999,32.139999,16863700
2021-03-29,31.520000,32.139999,30.690001,31.410000,31.410000,12743700
2021-03-30,30.990000,33.820000,30.959999,33.820000,33.820000,20662600
2021-03-31,34.990002,37.000000,34.180000,36.509998,36.509998,23285500
2021-04-01,38.869999,39.240002,36.650002,36.950001,36.950001,17008000
2021-04-05,37.459999,37.540001,35.490002,36.009998,36.009998,10133100
2021-04-06,35.900002,37.470001,35.320000,37.009998,37.009998,9316400
2021-04-07,36.310001,36.310001,33.950001,34.070000,34.070000,13035700
2021-04-08,34.889999,35.770000,34.470001,35.450001,35.450001,8908300
2021-04-09,34.919998,35.270000,34.290001,34.490002,34.490002,5522900
2021-04-12,34.900002,36.139999,33.700001,33.990002,33.990002,11231200
2021-04-13,34.540001,36.029999,34.209999,35.480000,35.480000,12183700
2021-04-14,35.849998,35.950001,32.689999,32.889999,32.889999,19735200
2021-04-15,32.957001,32.959999,30.590000,31.400000,31.400000,21561500
2021-04-16,30.780001,31.040001,30.350000,30.920000,30.920000,13563000
2021-04-19,31.299999,31.400000,29.770000,31.200001,31.200001,14845300
2021-04-20,31.299999,31.840000,30.350000,31.270000,31.270000,7475400
2021-04-21,30.965000,32.605000,30.570000,32.599998,32.599998,9432400
2021-04-22,32.619999,33.180000,31.680000,32.369999,32.369999,11969900
2021-04-23,32.395000,33.439999,32.150002,33.299999,33.299999,8891600
2021-04-26,33.500000,33.590000,32.230000,33.000000,33.000000,12281200
2021-04-27,32.970001,33.005001,31.370001,31.590000,31.590000,12002000
2021-04-28,31.459999,32.266998,31.100000,31.690001,31.690001,7992600
2021-04-29,31.969999,32.020000,29.820000,30.520000,30.520000,11607900
2021-04-30,29.900000,31.000000,29.430000,29.910000,29.910000,14568400
2021-05-03,30.090000,30.240000,28.870001,29.020000,29.020000,11035500
2021-05-04,28.370001,29.150000,27.670000,28.969999,28.969999,14223900
2021-05-05,29.170000,29.379999,27.820000,27.990000,27.990000,8074200
2021-05-06,27.639999,28.200001,25.770000,26.379999,26.379999,18358700
2021-05-07,26.610001,27.672001,26.410000,26.690001,26.690001,11595500
2021-05-10,26.809999,26.809999,25.020000,25.459999,25.459999,13537300
2021-05-11,23.900000,25.240000,23.000000,24.930000,24.930000,17145600
2021-05-12,24.870001,25.670000,24.530001,24.760000,24.760000,16207900
2021-05-13,25.139999,25.680000,22.730000,23.559999,23.559999,29007900
2021-05-14,24.010000,25.990000,23.870001,25.700001,25.700001,14855200
2021-05-17,25.820000,26.600000,25.330000,26.120001,26.120001,11281900
2021-05-18,26.504000,27.780001,26.059999,27.320000,27.320000,15116000
2021-05-19,26.280001,27.870001,26.070000,27.639999,27.639999,11093800
2021-05-20,28.040001,29.379999,27.840000,28.799999,28.799999,14760900
2021-05-21,29.209999,29.270000,28.219999,28.580000,28.580000,10035500
2021-05-24,28.610001,29.540001,27.690001,29.129999,29.129999,10494000
2021-05-25,29.600000,30.480000,28.540001,29.379999,29.379999,13389100
2021-05-26,29.980000,32.060001,29.660000,31.570000,31.570000,17681500
2021-05-27,31.700001,32.424999,30.830000,32.389999,32.389999,29431800
2021-05-28,32.169998,33.090000,31.850000,32.130001,32.130001,9713300
2021-06-01,33.700001,34.770000,33.040001,34.599998,34.599998,21612000
2021-06-02,34.500000,36.230000,34.150002,35.000000,35.000000,17256700
2021-06-03,34.840000,37.060001,34.279999,35.950001,35.950001,15989700
2021-06-04,36.369999,37.724998,35.900002,37.110001,37.110001,13185900
2021-06-07,37.070000,38.770000,36.689999,38.360001,38.360001,14478900
2021-06-08,38.970001,40.160000,38.689999,39.650002,39.650002,21313500
2021-06-09,40.099998,40.240002,37.770000,38.070000,38.070000,13997800
2021-06-10,38.200001,39.169998,38.029999,38.610001,38.610001,9932300
2021-06-11,38.900002,41.770000,38.680000,41.500000,41.500000,19326500
2021-06-14,41.939999,43.200001,41.450001,42.599998,42.599998,14439100
2021-06-15,41.250000,41.999001,40.049999,40.169998,40.169998,16102300
2021-06-16,38.869999,41.257000,38.639999,41.029999,41.029999,14648900
2021-06-17,41.090000,44.400002,40.959999,44.240002,44.240002,19008900
2021-06-18,44.639999,45.750000,44.430000,45.230000,45.230000,34853100
2021-06-21,44.930000,45.000000,42.080002,43.630001,43.630001,14259300
2021-06-22,42.450001,43.549999,39.709999,39.990002,39.990002,24147400
2021-06-23,42.020000,42.730000,41.049999,41.610001,41.610001,16889200
2021-06-24,42.200001,42.270000,40.160000,40.950001,40.950001,14767800
2021-06-25,41.150002,42.450001,40.771999,42.160000,42.160000,11366500
2021-06-28,42.400002,45.529999,42.360001,45.310001,45.310001,16329400
2021-06-29,44.150002,45.099998,43.369999,44.320000,44.320000,14390200
2021-06-30,43.230000,44.779999,43.029999,44.419998,44.419998,22597400
2021-07-01,46.279999,47.980000,42.900002,43.660000,43.660000,34361500
2021-07-02,43.810001,44.119999,41.509998,43.740002,43.740002,17669300
2021-07-06,42.189999,45.330002,42.189999,44.049999,44.049999,18127500
2021-07-07,43.360001,44.250000,40.419998,41.470001,41.470001,28874400
2021-07-08,38.750000,41.470001,38.380001,40.000000,40.000000,19139600
2021-07-09,40.360001,40.689999,38.869999,39.919998,39.919998,11282600
2021-07-12,39.950001,40.889999,38.619999,39.799999,39.799999,9265700
2021-07-13,39.700001,40.310001,38.509998,39.189999,39.189999,8386500
2021-07-14,38.889999,39.505001,37.279999,37.770000,37.770000,11170200
2021-07-15,37.490002,39.299999,36.919998,38.509998,38.509998,11017100
2021-07-16,38.930000,39.549999,38.380001,39.029999,39.029999,11318800
2021-07-19,38.180000,39.900002,37.209999,39.720001,39.720001,10598700
2021-07-20,39.939999,40.990002,39.099998,40.759998,40.759998,8123500
2021-07-21,41.619999,44.419998,41.365002,43.869999,43.869999,18107800
2021-07-22,43.549999,43.950001,42.660000,43.270000,43.270000,6905400
2021-07-23,41.990002,42.078999,39.720001,41.000000,41.000000,11475300
2021-07-26,39.610001,43.020000,39.410000,40.750000,40.750000,12377100
2021-07-27,39.340000,39.830002,33.860001,34.700001,34.700001,38824200
2021-07-28,36.840000,38.340000,35.950001,37.340000,37.340000,19808300
2021-07-29,38.919998,39.259998,37.470001,38.099998,38.099998,9915100
2021-07-30,38.680000,42.240002,38.220001,40.529999,40.529999,21691300
2021-08-02,42.504002,44.119999,41.810001,43.389999,43.389999,20832600
2021-08-03,42.220001,43.080002,41.520000,42.759998,42.759998,10996700
2021-08-04,44.169998,45.130001,43.464001,43.779999,43.779999,10470900
2021-08-05,43.000000,43.532001,42.119999,42.750000,42.750000,6351200
2021-08-06,42.910000,43.070000,40.369999,41.220001,41.220001,8903000
2021-08-09,41.389999,42.792999,41.110001,42.369999,42.369999,6520000
2021-08-10,42.610001,43.689999,41.880001,42.330002,42.330002,5298200
2021-08-11,42.500000,42.750000,41.209999,42.250000,42.250000,6232500
2021-08-12,41.560001,41.560001,39.880001,41.020000,41.020000,5900600
2021-08-13,40.000000,40.279999,39.330002,40.150002,40.150002,5640200
2021-08-16,38.610001,38.880001,37.060001,37.509998,37.509998,9709100
2021-08-17,36.060001,39.139999,35.799999,37.869999,37.869999,9006700
2021-08-18,38.459999,40.369999,38.009998,39.500000,39.500000,8348300
2021-08-19,38.500000,39.089001,37.500000,37.570000,37.570000,6505800
2021-08-20,38.020000,39.950001,37.900002,38.689999,38.689999,7526600
2021-08-23,38.970001,39.799999,38.250000,39.689999,39.689999,6839100
2021-08-24,40.189999,40.779999,39.610001,40.549999,40.549999,7800100
2021-08-25,40.389999,41.220001,39.810001,40.869999,40.869999,6770200
2021-08-26,40.000000,42.450001,39.849998,40.619999,40.619999,12048100
2021-08-27,41.680000,41.680000,40.160000,40.279999,40.279999,6810200
2021-08-30,40.450001,40.849998,39.020000,40.750000,40.750000,6740800
2021-08-31,40.549999,42.500000,40.419998,42.500000,42.500000,11999200
2021-09-01,41.099998,42.042000,40.481998,40.779999,40.779999,11686400
2021-09-02,41.119999,41.639999,40.520000,40.790001,40.790001,6842500
2021-09-03,40.580002,40.619999,39.360001,39.750000,39.750000,5984600
2021-09-07,40.209999,42.500000,40.180000,41.770000,41.770000,13189800
2021-09-08,40.700001,40.950001,38.740002,39.259998,39.259998,13391800
2021-09-09,39.139999,39.738998,38.049999,39.369999,39.369999,5636800
2021-09-10,39.669998,40.650002,38.439999,38.540001,38.540001,7469200
